Name,Quantity,Link,Total Cost,Distributor,Purpose,Footprint,Value
PTK 7462W,2,https://www.amazon.com/7462W-Waterproof-Servo-Motor-Metal/dp/B0FS6RFS5T/ref=sr_1_5?crid=1ZB1W7OBY92AH&dib=eyJ2IjoiMSJ9.pcNsqKatkWgVfKurDM9eHL21UShPA7q6GXI9fo14TvFABX6NUw60A4k6qXJAddcV1jaM5bD_ihRYej-b-Lx6ysEhNUEZTNV9GKiLSC5LTDlzWu8q_CSUwAYdmiKw9ZnP_5f4FPnJ8-klUCwh87w4VGMC84lR6LUw1btxYo-F4Utq2s6qgV90yjv_KvqzCP6eqCl0Q55bP6fYXsnqbciufLyxbyqG7qBHzq3PKEA_Hxg.YU3fGmyR3zlSbmNrTrl-zQXaLwKUesFVOlDi5g06fR0&dib_tag=se&keywords=PTK&qid=1777691727&sprefix=ptk%2Caps%2C100&sr=8-5&th=1 ,27.54,Amazon,Motors for the wings,,
2s LiPo Battery,1,https://www.amazon.com/Tattu-300mAh-7-6V-Battery-JST-PHR/dp/B097BVFYLX/ref=sr_1_13?crid=2ZJ76ZHNRXD50&dib=eyJ2IjoiMSJ9.9CM4Ph0ZcswTXalgAhFYgxwOa2_mpoX-U946yyTZ0te5qCaS84KWHWp3iqs04T6AywbCIiWH9XYEyJsVoqdngsM1OFrK0zdpFP-iEN38fjmUQdWUuZeBDpqbK9Beafcs4k2VeU3F8SMT-0VUStvHtMt6wPazmiYsP0k07IPMTnAapAwwXfVFp9KGYUJMYu8L33jbZLZ2P7qx-fH6v0T9QAhEeHj8Ldyvm-nWqyEeHXX5hSPaQ8l0aw3_RJRse0mbgUpd3e6yb-LZ_qXxl4jWPsdYEYjkYCi52l_5oWrDBoY.Pv-Sbm1U3Sdy41Tj8nN-aCbiLgHkswAEGGEC4bIILGc&dib_tag=se&keywords=2s+7.6+v+lipo&qid=1777692124&sprefix=2s+7.6+v+lipo%2Caps%2C91&sr=8-13 ,9.99,Amazon,Power for microcontroller and motors,,
Custom PCB,5,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006&spm=Jlcpcb.Instantquote&_t=1777938855701&up_spm=Jlcpcb.Loginpage.1003,2,JCLPCB,Manufacturing PCB for custom microcontroller ,,
A1,1,https://www.adafruit.com/product/5526?gad_source=1&gad_campaignid=23438252138&gbraid=0AAAAADx9JvRU8AUIiT14w9XCblnLEohNW&gclid=Cj0KCQjwh-HPBhCIARIsAC0p3cexzLr-P9xc99KU2w8qJSMWC_1im0GuzYcRuyEFFIox6lz7J-F-BzQaAi_6EALw_wcB,6,Adafruit,Microcontroller ,Module:RaspberryPi_Pico_W_SMD_HandSolder,RaspberryPi_Pico_W
"C_3V3,C_BAT1",2,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020473008/5727062,0.26,DigiKey,PCB component,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,100uF
"C_3V3_bypass1,C_5V_bypass1",2,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KP5VPNC/20498482,0.2,DigiKey,PCB component,Capacitor_SMD:C_0402_1005Metric,100nF
C_5V1,1,https://www.digikey.com/en/products/detail/kemet/ESK107M025AC3AA/2712507 ,0.2,DigiKey,PCB component,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,100uF
D1,1,http://digikey.com/en/products/detail/onsemi/SS14/965474 ,0.44,DigiKey,PCB component,Diode_SMD:D_SMA,SS14
J_BAT1,1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S2B-PH-K-S/926626,0.11,DigiKey,PCB component,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,Conn_01x02_Socket
J_DBG1,1,https://www.digikey.com/en/products/detail/sullins-connector-solutions/GRPB031VWVN-RC/1786439,0.21,DigiKey,PCB component,Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical,Conn_01x03_Pin
J_EXT1,1,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300811121/4846839,0.4,DigiKey,PCB component,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin
"J_SRV1,J_SRV2",2,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,0.26,DigiKey,PCB component,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin
L1,1,https://www.digikey.com/en/products/detail/taiyo-yuden/LCXND3030QKT4R7MNG/22251951,0.27,DigiKey,PCB component,Inductor_SMD:L_Taiyo-Yuden_NR-30xx,4.7uH
LED_CHG1,1,https://www.digikey.com/en/products/detail/sunled/XZFRA53FVC-1/28246155,0.86,DigiKey,PCB component,LED_SMD:LED_0603_1608Metric,LED
MCP73831,1,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301,0.76,DigiKey,PCB component,Package_TO_SOT_SMD:SOT-23-5,
MT3608,1,https://www.lcsc.com/product-detail/C84817.html?s_z=n_q_MT3608&spm=wm.ssy.bg.0.xh&lcsc_vid=RlEIUldTRlENVVQFEQVeAwADT1VXA1ECQldXUgFTEVExVlNRQFhdUFZXQVdWVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,0.79,LCSC,PCB component,Package_TO_SOT_SMD:SOT-23-6,
R_FB1,1,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526,0.1,DigiKey,PCB component,Resistor_SMD:R_0402_1005Metric,100k
R_FB2,1,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0736KL/726598,0.1,DigiKey,PCB component,Resistor_SMD:R_0402_1005Metric,36k
R_LED1,1,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071KL/726513,0.1,DigiKey,PCB component,Resistor_SMD:R_0402_1005Metric,1k
R_PROG1,1,https://www.digikey.com/en/products/detail/yageo/RC0402FR-072KL/2827565,0.1,DigiKey,PCB component,Resistor_SMD:R_0402_1005Metric,2k
"R_SRV1,R_SRV2",2,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0747RL/2827566,0.2,DigiKey,PCB component,Resistor_SMD:R_0402_1005Metric,47
SW1,1,https://www.digikey.com/en/products/detail/c-k/OS102011MS2QN1/411602,0.73,DigiKey,PCB component,Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT